Customer ID,Recency,Frequency,Monetary
12346.0,321,12,1.0
12348.0,71,5,361.0
12349.0,14,4,750.0
12350.0,305,1,40.0
12352.0,31,10,280.0
12356.0,18,6,760.0
12357.0,28,3,875.0
12358.0,146,4,280.0
12359.0,53,10,1250.0
12360.0,47,8,640.0
12361.0,282,4,60.0
12362.0,31,10,565.0
12364.0,3,4,105.0
12369.0,409,3,280.0
12370.0,46,7,360.0
12371.0,40,5,720.0
12372.0,67,3,102.0
12373.0,307,3,200.0
12374.0,20,4,320.0
12375.0,6,2,80.0
12376.0,385,2,120.0
12377.0,310,4,160.0
12379.0,77,4,150.0
12380.0,17,11,957.0
12381.0,28,4,326.0
12383.0,180,5,222.0
12384.0,24,2,160.0
12385.0,374,1,270.0
12390.0,75,1,45.0
12394.0,59,2,192.0
12395.0,14,15,516.0
12397.0,31,2,195.0
12398.0,41,1,200.0
12399.0,115,7,120.0
12401.0,298,1,15.0
12402.0,318,6,120.0
12403.0,45,2,72.0
12405.0,144,1,320.0
12407.0,45,5,201.0
12408.0,28,8,435.0
12410.0,304,3,240.0
12412.0,70,6,192.0
12413.0,62,4,128.0
12414.0,212,6,420.0
12415.0,19,28,425.0
12417.0,34,19,754.0
12419.0,381,2,112.0
12421.0,11,6,224.0
12422.0,91,17,534.0
12423.0,96,9,306.0
12426.0,190,2,144.0
12427.0,17,3,180.0
12428.0,21,9,1000.0
12429.0,4,8,506.0
12430.0,38,1,40.0
12431.0,31,27,330.0
12432.0,38,5,830.0
12436.0,95,1,80.0
12437.0,4,38,1347.0
12438.0,9,2,440.0
12440.0,458,2,120.0
12441.0,362,1,36.0
12443.0,727,1,120.0
12444.0,16,5,920.0
12445.0,17,2,56.0
12447.0,238,1,45.0
12448.0,39,1,149.0
12449.0,17,6,561.0
12451.0,6,8,40.0
12452.0,12,2,82.0
12454.0,51,5,220.0
12455.0,68,10,157.0
12456.0,39,3,600.0
12457.0,62,8,440.0
12458.0,66,4,275.0
12459.0,600,1,56.0
12460.0,451,1,30.0
12461.0,89,2,200.0
12462.0,14,2,252.0
12463.0,48,4,144.0
12464.0,5,8,255.0
12465.0,12,2,60.0
12468.0,183,5,432.0
12471.0,6,78,4470.0
12472.0,27,19,1386.0
12473.0,24,5,288.0
12474.0,12,31,1127.0
12475.0,49,2,84.0
12476.0,11,23,1764.0
12479.0,6,1,54.0
12480.0,23,7,630.0
12481.0,18,15,1170.0
12483.0,12,19,1028.0
12484.0,28,12,797.0
12486.0,427,1,120.0
12488.0,5,3,54.0
12489.0,332,1,36.0
12490.0,13,20,1005.0
12491.0,34,1,36.0
12492.0,58,3,108.0
12493.0,161,2,54.0
12494.0,11,9,270.0
12495.0,636,1,80.0
12497.0,77,3,252.0
12498.0,17,3,54.0
12499.0,555,1,36.0
12500.0,18,19,399.0
12501.0,332,1,144.0
12502.0,91,5,728.0
12503.0,579,1,230.0
12504.0,13,4,90.0
12505.0,404,1,168.0
12507.0,129,4,336.0
12509.0,279,1,18.0
12510.0,138,9,728.0
12513.0,108,1,54.0
12515.0,348,1,105.0
12516.0,73,4,360.0
12517.0,23,5,180.0
12518.0,24,4,180.0
12519.0,59,2,90.0
12520.0,74,5,288.0
12521.0,138,1,54.0
12522.0,34,2,36.0
12523.0,15,23,367.0
12524.0,4,17,1332.0
12525.0,493,3,90.0
12526.0,49,2,108.0
12527.0,77,5,18.0
12528.0,4,6,288.0
12530.0,55,9,378.0
12531.0,10,2,162.0
12532.0,25,1,36.0
12533.0,623,2,144.0
12534.0,126,1,108.0
12537.0,404,1,120.0
12539.0,17,7,28.0
12540.0,15,33,3004.0
12541.0,25,3,140.0
12543.0,443,1,140.0
12544.0,31,1,56.0
12545.0,70,2,168.0
12546.0,42,2,140.0
12547.0,193,3,84.0
12548.0,161,1,28.0
12549.0,571,6,5.0
12550.0,74,1,140.0
12552.0,34,2,120.0
12553.0,3,12,504.0
12554.0,444,1,84.0
12559.0,306,2,36.0
12560.0,107,2,144.0
12562.0,3,9,540.0
12563.0,404,1,28.0
12564.0,256,1,54.0
12566.0,81,1,54.0
12567.0,18,15,1242.0
12568.0,640,1,18.0
12569.0,3,28,828.0
12572.0,4,2,108.0
12574.0,311,1,36.0
12575.0,453,2,54.0
12576.0,31,8,80.0
12578.0,16,4,616.0
12579.0,73,1,54.0
12580.0,242,2,90.0
12581.0,35,1,18.0
12582.0,234,4,160.0
12583.0,14,26,1098.0
12584.0,13,8,84.0
12585.0,229,2,216.0
12587.0,3,1,40.0
12588.0,34,4,240.0
12589.0,24,8,345.0
12590.0,206,2,523.0
12591.0,312,3,224.0
12592.0,87,5,144.0
12593.0,104,3,36.0
12594.0,33,15,200.0
12595.0,500,1,18.0
12596.0,47,2,168.0
12597.0,14,4,616.0
12598.0,5,11,342.0
12599.0,24,13,270.0
12600.0,24,21,595.0
12601.0,185,6,108.0
12603.0,17,1,126.0
12604.0,74,2,18.0
12605.0,371,4,108.0
12606.0,677,1,21.0
12609.0,73,9,414.0
12610.0,18,5,352.0
12612.0,69,1,132.0
12613.0,52,10,540.0
12615.0,32,7,342.0
12616.0,90,3,108.0
12618.0,17,1,40.0
12619.0,11,10,306.0
12620.0,10,3,54.0
12621.0,19,34,2160.0
12622.0,227,1,18.0
12623.0,271,7,432.0
12624.0,101,2,72.0
12625.0,207,4,486.0
12626.0,18,9,666.0
12627.0,6,7,396.0
12628.0,28,2,36.0
12629.0,381,2,360.0
12630.0,5,2,240.0
12631.0,52,6,160.0
12632.0,516,2,90.0
12633.0,54,7,522.0
12634.0,531,2,130.0
12635.0,85,4,306.0
12636.0,734,1,141.0
12637.0,62,12,198.0
12638.0,29,2,240.0
12639.0,234,3,240.0
12640.0,19,3,180.0
12641.0,110,1,40.0
12642.0,20,3,108.0
12643.0,124,12,501.0
12644.0,125,4,18.0
12645.0,29,8,324.0
12647.0,18,36,3008.0
12648.0,150,4,73.0
12649.0,102,8,198.0
12652.0,326,2,126.0
12654.0,6,5,72.0
12655.0,419,1,18.0
12656.0,12,8,684.0
12657.0,6,4,216.0
12658.0,14,1,54.0
12659.0,25,1,18.0
12660.0,6,1,18.0
12662.0,18,19,596.0
12663.0,620,2,54.0
12664.0,3,11,650.0
12665.0,320,3,54.0
12667.0,53,1,160.0
12668.0,7,10,1477.0
12669.0,146,3,180.0
12670.0,5,7,324.0
12672.0,325,2,30.0
12673.0,322,2,54.0
12674.0,34,4,126.0
12675.0,549,2,84.0
12676.0,20,11,510.0
12677.0,550,2,36.0
12678.0,38,21,1686.0
12679.0,54,4,162.0
12680.0,69,3,72.0
12681.0,10,45,2970.0
12682.0,4,51,2286.0
12683.0,45,19,1206.0
12684.0,3,7,210.0
12685.0,23,6,288.0
12686.0,367,1,36.0
12687.0,476,2,280.0
12688.0,109,1,255.0
12689.0,21,2,108.0
12690.0,201,1,54.0
12691.0,23,7,126.0
12693.0,122,7,288.0
12694.0,66,3,180.0
12695.0,2,7,36.0
12696.0,430,2,120.0
12697.0,24,3,200.0
12698.0,585,1,54.0
12699.0,413,1,72.0
12700.0,3,4,414.0
12701.0,75,6,198.0
12702.0,15,1,18.0
12703.0,66,4,108.0
12704.0,3,8,623.0
12705.0,10,14,648.0
12708.0,25,18,576.0
12709.0,10,34,846.0
12710.0,92,3,126.0
12711.0,607,2,126.0
12712.0,24,21,817.0
12714.0,4,12,1278.0
12715.0,101,1,80.0
12716.0,128,1,54.0
12717.0,146,3,250.0
12718.0,66,1,36.0
12719.0,60,1,36.0
12720.0,10,29,864.0
12721.0,27,8,378.0
12722.0,80,4,18.0
12724.0,77,6,216.0
12725.0,366,4,416.0
12726.0,23,11,324.0
12727.0,6,10,774.0
12728.0,66,5,144.0
12729.0,109,1,36.0
12730.0,517,1,126.0
12731.0,19,17,144.0
12732.0,175,1,18.0
12734.0,348,3,36.0
12735.0,310,2,90.0
12736.0,328,1,90.0
12737.0,494,2,100.0
12738.0,367,1,36.0
12739.0,74,4,268.0
12741.0,524,2,170.0
12744.0,47,11,315.0
12748.0,1,332,4008.0
12749.0,18,8,50.0
12757.0,11,13,56.0
12759.0,47,8,402.0
12760.0,451,1,30.0
12761.0,453,2,70.0
12762.0,3,2,196.0
12765.0,467,6,105.0
12766.0,53,8,840.0
12771.0,481,1,56.0
12772.0,55,1,140.0
12774.0,531,1,15.0
12775.0,12,7,135.0
12776.0,663,1,28.0
12778.0,15,9,234.0
12780.0,594,1,15.0
12781.0,59,2,40.0
12782.0,145,10,728.0
12783.0,28,5,196.0
12784.0,4,3,252.0
12785.0,359,3,196.0
12786.0,605,1,60.0
12787.0,5,4,63.0
12788.0,458,4,60.0
12789.0,60,3,48.0
12790.0,187,2,45.0
